Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,PECO:0007167,PECO:0007102,AvailN_CalcNutAvail_kgha,BioYld100_CalcGbSamp_tha,BmsNOff_CalcCombYld_kgha,BmsNUpE_CalcFh_kgNOff/kg_Navail,BmsNUtE_CalcFh_kg_biomass/kg_Noff,FertN_FertApl_kgha,FrWtGrnPl_Fh_kg,GrnAlCnc_Icp_ppm,GrnAlOff_CalcIcpYld_kgha,GrnAsCnc_Icp_ppm,GrnAsOff_CalcIcpYld_kgha,GrnCaCnc_Icp_ppm,GrnCaOff_CalcIcpYld_kgha,GrnCdCnc_Icp_ppm,GrnCdOff_CalcIcpYld_kgha,GrnCoCnc_Icp_ppm,GrnCoOff_CalcIcpYld_kgha,GrnCrCnc_Icp_ppm,GrnCrOff_CalcIcpYld_kgha,GrnCuCnc_Icp_ppm,GrnCuOff_CalcIcpYld_kgha,GrnFeCnc_Icp_ppm,GrnFeOff_CalcIcpYld_kgha,GrnKCnc_Icp_ppm,GrnKOff_CalcIcpYld_kgha,GrnMc_CalcFh_%,GrnMgCnc_Icp_ppm,GrnMgOff_CalcIcpYld_kgha,GrnMnCnc_Icp_ppm,GrnMnOff_CalcIcpYld_kgha,GrnMoCnc_Icp_ppm,GrnMoOff_CalcIcpYld_kgha,GrnNCnc_Com_%,GrnNOff_CalcCombYld_kgha,GrnNUE_CalcFh_kg_grain/kg_Navail,GrnNUpE_CalcFh_kgNOff/kg_Navail,GrnNUtE_CalcFh_kg_grain/kg_Noff,GrnNaCnc_Icp_ppm,GrnNaOff_CalcIcpYld_kgha,GrnNiCnc_Icp_ppm,GrnNiOff_CalcIcpYld_kgha,GrnPCnc_Icp_ppm,GrnPOff_CalcIcpYld_kgha,GrnPbCnc_Icp_ppm,GrnPbOff_CalcIcpYld_kgha,GrnSCnc_Icp_ppm,GrnSOff_CalcIcpYld_kgha,GrnSeCnc_Icp_ppm,GrnSeOff_CalcIcpYld_kgha,GrnSsDrWt_Fh_g,GrnSsFrWt_Fh_g,GrnTiCnc_Icp_ppm,GrnTiOff_CalcIcpYld_kgha,GrnWt_GbSamp_g,GrnYld100_Fh_tha,GrnYld85_Fh_tha,GrnZnCnc_Icp_ppm,GrnZnOff_CalcIcpYld_kgha,HI_CalcGbSamp_%,HarPlL_Fh_m,HarPlW_Fh_m,LodAr_Vis_% 2021-08-11,LodSev_Vis_0to10 2021-08-11,NHi_CalcCombYld_%,NoGr_TgwMeas_No sample_1,NoGr_TgwMeas_No sample_2,SlMinN_SoilSam_kgha,SpkPop_CalcGbSamp_m2,StmNoS_GbSamp_No,StrwChfWt_GbSamp_g,StrwNCnc_Com_%,StrwNOff_CalcCombYld_kgha,StrwYld100_CalcGbSamp_tha,StrwYld85_CalcGbSamp_tha,TGW_CalcTGW_g,WtGrSp_CalcGbSamp_g,WtGr_TgwMeas_g sample_1,WtGr_TgwMeas_g sample_2
11,2020-09-28,2021-08-14,1.8,9.0,6,13,1,1,Barrel,SFP,N350,422.16,17.00864147,291.9111421,0.691470395,58.26650311,350.0,13.367,14.302,0.125178105,,,324.8665,2.843390638,0.04,0.0003501,0.014,0.000122535,0.184,0.001610458,3.9015,0.034147838,31.1185,0.272364345,5176.5825,45.3079841,14.24766977,1175.5875,10.28931728,37.056,0.324332252,0.04,0.0003501,2.39,209.1844996,20.73263579,0.495509995,29.98340338,13.9365,0.12197907,0.1005,0.000879625,3347.4415,29.29844666,0.0225,0.000196931,1399.591,12.24990556,,,64.4,75.1,0.03,0.000262575,144.6,8.752489523,10.2970465,25.956,0.227179618,51.45907473,7.3675,1.8,,,71.66033407,513.0,505.0,72.16,605.2897319,100.0,136.4,1.002,82.72664247,8.256151943,9.713119933,27.99607073,1.446,14.7,13.8
12,2020-09-28,2021-08-14,1.8,9.0,6,14,1,1,Hereward,SFP,N350,422.16,15.30486682,277.6236525,0.657626617,55.12810842,350.0,12.919,14.984,0.127673269,,,440.122,3.750121089,0.039,0.000332305,0.0245,0.000208756,0.0905,0.000771118,3.519,0.029984132,32.5745,0.277555586,4524.481,38.55147349,14.04639175,1008.4595,8.592720288,38.8265,0.330826626,0.0055,4.68635,2.47,210.4598064,20.1834374,0.498530904,30.69133288,12.499,0.106499479,0.0775,0.00066035,3149.5745,26.83639026,0.0035,2.98222,1467.2655,12.50204101,0.0085,7.24254,66.7,77.6,0.0245,0.000208756,195.3,8.520639935,10.02428228,28.772,0.245155852,55.672748,7.3675,1.8,,,75.80759222,531.0,508.0,72.16,436.2846869,100.0,155.5,0.99,67.16384612,6.784226881,7.981443389,29.74013474,1.953,16.4,14.5
13,2020-09-28,2021-08-14,1.8,9.0,6,15,1,1,Solstice,SFP,N350,422.16,18.33625789,301.7347014,0.714740149,60.76947001,350.0,13.691,10.9355,0.098783281,,,401.1585,3.623771478,0.0455,0.000411014,0.008,7.22661,0.0545,0.000492313,3.1015,0.028016675,31.19,0.28174757,4088.9615,36.93667729,13.79763469,967.079,8.735881944,40.126,0.362468835,0.042,0.000379397,2.4,216.7983863,21.39773095,0.513545543,29.93777665,12.2225,0.110409095,0.0365,0.000329714,2902.531,26.21933488,0.009,8.12994,1395.503,12.60594994,,,65.6,76.1,0.0225,0.000203248,177.5,9.033266097,10.62737188,26.916,0.24313939,49.2645018,7.3675,1.8,,,71.85066396,527.0,519.0,72.16,508.9163998,100.0,182.8,0.913,84.93631503,9.302991789,10.94469622,34.60803059,1.775,18.3,17.9
14,2020-09-28,2021-08-14,1.8,9.0,6,16,1,1,Robigus,SFP,N350,422.16,15.02822414,265.6259883,0.629206908,56.57663332,350.0,12.975,16.6985,0.143230212,,,399.8435,3.429629558,0.06,0.000514646,0.014,0.000120084,0.06,0.000514646,4.591,0.03937898,36.945,0.316893145,5033.542,43.17485323,13.73056995,997.483,8.555840424,40.782,0.349804743,,,2.35,201.5696007,20.31795958,0.47747205,32.29138034,13.8265,0.118595833,0.0455,0.000390273,3269.0145,28.03974244,0.0265,0.000227302,1378.1545,11.8210235,,,66.6,77.2,0.03,0.000257323,181.5,8.577429815,10.0910939,29.952,0.256911178,57.0754717,7.3675,1.8,,,75.88474379,517.0,510.0,72.16,472.5856647,100.0,136.5,0.993,64.05638763,6.450794324,7.589169793,28.14021422,1.815,14.6,14.3
15,2020-09-28,2021-08-14,1.8,9.0,6,17,1,1,Theodore,SFP,N350,422.16,20.55047667,341.2234297,0.808279869,60.22586634,350.0,16.369,13.523,0.14369919,,,273.6375,2.907748798,0.05,0.000531314,0.0285,0.000302849,0.0555,0.000589759,3.908,0.041527504,32.5455,0.345837608,4664.0615,49.56162522,15.13994911,1016.217,10.79860677,32.325,0.343494513,0.028,0.000297536,2.28,242.2791927,25.17121561,0.573903716,31.14170792,12.124,0.128833023,0.078,0.00082885,3014.748,32.03555753,0.0505,0.000536627,1334.672,14.18259889,,,66.7,78.6,0.0255,0.00027097,201.3,10.62628038,12.50150633,25.1635,0.267394406,51.70819419,7.3675,1.8,,,71.00309406,509.0,523.0,72.16,527.8827811,100.0,188.0,0.997,98.94423696,9.924196284,11.67552504,32.36434109,2.013,16.5,16.9
16,2020-09-28,2021-08-14,1.8,9.0,6,18,1,1,Graham,SFP,N350,422.16,23.09609541,336.5614912,0.797236809,68.62370181,350.0,17.122,16.098,0.180709025,,,395.6665,4.441577052,0.0345,0.000387282,0.023,0.000258188,0.05,0.000561278,3.265,0.036651445,29.2485,0.328330719,4313.6835,48.42350222,13.95939086,894.0975,10.03674291,32.404,0.363752966,0.0305,0.00034238,2.13,239.104375,26.59076538,0.566383303,33.3536599,11.703,0.1313727,0.054,0.00060618,2836.8025,31.84468962,0.009,0.00010103,1306.859,14.67022087,0.002,2.24511,67.8,78.8,0.029,0.000325541,154.9,11.22555751,13.20653825,23.7275,0.266354416,48.60370254,7.3675,1.8,,,71.04329559,509.0,514.0,72.16,724.6970635,100.0,163.8,0.821,97.45711616,11.8705379,13.96533871,37.43890518,1.549,19.2,19.1
17,2020-09-28,2021-08-14,1.8,9.0,6,19,1,1,Mercia,SFP,N350,422.16,14.1836353,249.4328914,0.590849184,56.86353238,350.0,12.348,16.6035,0.135483142,,,523.133,4.268720591,0.0435,0.000354956,0.0285,0.000232558,0.0555,0.000452875,3.719,0.030346722,32.648,0.266404891,4273.229,34.8691836,13.89236546,943.4765,7.698687643,36.5015,0.297849122,,,2.45,199.9179071,19.32896195,0.473559568,32.71386756,13.509,0.110232286,0.0795,0.000648713,3163.552,25.81431407,0.0045,3.67196,1545.765,12.61331035,0.0555,0.000452875,68.8,79.9,0.0265,0.000216238,188.7,8.159914575,9.5998995,30.5335,0.249150752,57.5304878,7.3675,1.8,,,80.14897552,516.0,504.0,72.16,432.4279054,100.0,139.3,0.822,49.51498434,6.023720722,7.086730261,31.47058824,1.887,16.4,15.7
18,2020-09-28,2021-08-14,1.8,9.0,6,20,1,1,Cadenza,SFP,N350,422.16,14.44650848,248.4077133,0.588420772,58.15644083,350.0,12.108,13.1485,0.105750075,,,409.1095,3.29036471,0.063,0.000506693,0.0105,8.44489,0.086,0.000691676,4.1835,0.033646837,32.6395,0.262511281,4643.525,37.34670251,13.61256545,1172.015,9.426221576,41.2465,0.331735215,0.013,0.000104556,2.54,204.2858052,19.05142183,0.483906114,32.37720814,14.2115,0.114299517,0.0565,0.000454415,3359.0955,27.01635941,0.0015,1.2641,1519.182,12.21839835,,,66.0,76.4,0.026,0.000209111,206.1,8.042748238,9.462056751,30.4185,0.244648337,55.6726094,7.3675,1.8,,,82.23810868,524.0,505.0,72.16,390.2352372,100.0,164.1,0.689,44.12190807,6.403760242,7.533835579,31.19533528,2.061,16.7,15.4
19,2020-09-28,2021-08-14,1.8,9.0,6,21,1,1,Crusoe,SFP,N350,422.16,20.7695292,331.0546655,0.784192405,62.7374611,350.0,16.089,15.3025,0.161717774,,,321.626,3.398963616,0.0575,0.000607664,0.0235,0.000248349,0.108,0.001141351,3.88,0.041004082,34.237,0.36181875,4315.685,45.60842809,13.93103448,923.571,9.760355896,39.196,0.414225771,0.016,0.000169089,2.37,250.4630773,25.03331043,0.593289457,31.92240869,13.173,0.139213085,0.0745,0.000787321,2876.6445,30.40055838,0.033,0.000348746,1421.558,15.02311355,0.0235,0.000248349,62.4,72.5,0.0185,0.000195509,167.2,10.56806233,12.43301451,25.7765,0.272407659,50.88253195,7.3675,1.8,,,75.6561086,524.0,515.0,72.16,632.0611443,100.0,161.4,0.79,80.59158826,10.20146687,12.00172573,37.05486044,1.672,19.8,18.7
20,2020-09-28,2021-08-14,1.8,9.0,6,22,1,1,Zyatt,SFP,N350,422.16,25.26905689,339.2949577,0.803711763,74.47519131,350.0,17.347,21.0195,0.240004298,0.0155,0.000176982,281.0565,3.209151885,0.0515,0.000588036,0.01,0.000114182,0.053,0.000605163,3.4365,0.039238553,31.747,0.362492755,3850.439,43.96498062,13.51351351,880.0455,10.04851222,30.2945,0.345907858,0.0205,0.000234073,2.16,246.632548,27.04702842,0.584215814,33.65264722,11.538,0.131742886,0.0905,0.001033345,2657.788,30.34708456,0.032,0.000365382,1316.0355,15.02672169,,,67.2,77.7,0.034,0.000388218,139.4,11.41817352,13.43314532,23.126,0.264056681,45.18638574,7.3675,1.8,,,72.68971801,517.0,516.0,72.16,819.0942265,100.0,169.1,0.669,92.66240975,13.85088337,16.29515691,44.14327202,1.394,23.1,22.5
21,2020-09-28,2021-08-14,1.8,9.0,6,27,2,1,Claire,RFP,N100,182.24,8.700256201,102.9840044,0.56510099,84.48162654,100.0,4.904,,,,,,,,,,,,,,,,,,,13.79310345,,,,,,,2.05,66.95578723,17.92216836,0.367404451,31.71498313,,,,,,,,,,,,,67.5,78.3,,,103.8,3.266135963,3.842512897,,,37.54068716,7.3675,1.8,60.0,9.0,65.01571542,530.0,504.0,82.24,314.6566438,100.0,172.7,0.663,36.02821718,5.434120238,6.393082633,20.01934236,1.038,10.7,10.0
22,2020-09-28,2021-08-14,1.8,9.0,6,28,2,1,Istabraq,RFP,N100,182.24,13.88493102,152.2495015,0.835434051,91.19853185,100.0,8.813,,,,,,,,,,,,,,,,,,,13.90644753,,,,,,,1.69,98.25390699,31.90211068,0.539145671,38.18627051,,,,,,,,,,,,,68.1,79.1,,,122.6,5.813840651,6.83981253,,,41.8715847,7.3675,1.8,,,64.53479716,510.0,507.0,82.24,474.2121248,100.0,170.2,0.669,53.99559454,8.071090365,9.495400429,27.13864307,1.226,13.8,13.8
23,2020-09-28,2021-08-14,1.8,9.0,6,29,2,1,Soissons,RFP,N100,182.24,15.3860604,167.3073298,0.918060414,91.96285917,100.0,9.125,,,,,,,,,,,,,,,,,,,13.22537112,,,,,,,1.89,114.6496658,33.28643484,0.629113618,36.25734685,,,,,,,,,,,,,64.3,74.1,,,126.4,6.066119885,7.136611629,,,39.42607611,7.3675,1.8,,,68.52638554,514.0,519.0,82.24,479.9145479,100.0,194.2,0.565,52.65766393,9.319940519,10.96463591,30.00968054,1.264,15.5,15.5
24,2020-09-28,2021-08-14,1.8,9.0,6,30,2,1,Robigus,RFP,N100,182.24,3.497050891,56.0600728,0.30761673,62.38042008,100.0,3.374,,,,,,,,,,,,,,,,,,,13.52459016,,,,,,,2.06,47.13977661,12.55673107,0.25866866,40.8194024,,,,,,,,,,,,,63.3,73.2,,,117.0,2.28833867,2.692163142,,,65.43624161,7.3675,1.8,40.0,8.0,84.08796895,518.0,521.0,82.24,195.5845018,100.0,61.8,0.738,8.92029619,1.208712221,1.422014377,17.51684312,1.17,9.0,9.2
25,2020-09-28,2021-08-14,1.8,9.0,6,31,2,1,Avalon,RFP,N100,182.24,14.28453029,158.8853619,0.871846806,89.90463387,100.0,8.536,,,,,,,,,,,,,,,,,,,14.26735219,,,,,,,1.95,109.3367318,30.76718552,0.599960118,35.28966937,,,,,,,,,,,,,66.7,77.8,,,117.6,5.60701189,6.596484576,,,39.25233645,7.3675,1.8,,,68.81485527,516.0,515.0,82.24,476.7867253,100.0,182.0,0.571,49.54863007,8.677518401,10.20884518,32.10475267,1.176,16.5,16.6
26,2020-09-28,2021-08-14,1.8,9.0,6,32,2,1,Hereward,RFP,N100,182.24,11.17938565,144.7521291,0.794293948,77.23123464,100.0,9.459,,,,,,,,,,,,,,,,,,,13.64864865,,,,,,,1.81,114.1518722,34.60674533,0.62638209,43.56919175,,,,,,,,,,,,,63.9,74.0,,,195.7,6.306733269,7.419686199,,,56.41395215,7.3675,1.8,,,78.86023707,518.0,520.0,82.24,322.2653689,100.0,151.2,0.628,30.60025693,4.872652377,5.732532209,30.82851638,1.957,15.9,16.1
27,2020-09-28,2021-08-14,1.8,9.0,6,33,2,1,Solstice,RFP,N100,182.24,7.930157867,120.2545294,0.659869016,65.94477485,100.0,6.98,,,,,,,,,,,,,,,,,,,13.5935397,,,,,,,2.01,93.61464817,25.55665706,0.513688807,38.72989404,,,,,,,,,,,,,64.2,74.3,,,145.3,4.657445182,5.479347273,,,58.73080032,7.3675,1.8,,,77.84708702,514.0,524.0,82.24,320.53993,100.0,102.1,0.814,26.63988126,3.272712685,3.850250218,27.16763006,1.453,13.9,14.3
28,2020-09-28,2021-08-14,1.8,9.0,6,34,2,1,Cadenza,RFP,N100,182.24,9.756041591,140.2119626,0.769380831,69.58066496,100.0,8.7,,,,,,,,,,,,,,,,,,,13.49009901,,,,,,,2.03,118.0705095,31.91550293,0.64788471,41.48206151,,,,,,,,,,,,,69.9,80.8,,,186.9,5.816281255,6.842683829,,,59.61722488,7.3675,1.8,,,84.20858486,519.0,522.0,82.24,311.1974989,100.0,126.6,0.562,22.14145309,3.939760336,4.63501216,32.27665706,1.869,16.8,16.8
29,2020-09-28,2021-08-14,1.8,9.0,6,35,2,1,Mercia,RFP,N100,182.24,16.50634562,186.4551765,1.023129809,88.52715133,100.0,9.201,,,,,,,,,,,,,,,,,,,13.53887399,,,,,,,2.05,124.7682451,33.39692634,0.68463699,32.64192484,,,,,,,,,,,,,64.5,74.6,,,116.0,6.086255856,7.160301007,,,36.87221869,7.3675,1.8,,,66.91594592,519.0,511.0,82.24,524.677229,100.0,198.6,0.592,61.68693142,10.42008977,12.25892914,28.25242718,1.16,14.6,14.5
